source_roi	target_roi
C_L_001	C_L_002
C_L_001	C_L_003
C_L_001	C_L_004
C_L_001	C_L_005
C_L_001	C_L_006
C_L_001	C_L_007
C_L_001	C_L_008
C_L_001	C_L_009
C_L_001	C_L_010
C_L_001	C_L_011
C_L_001	C_L_012
C_L_001	C_L_013
C_L_001	C_L_014
C_L_001	C_L_015
C_L_001	C_L_016
C_L_001	C_L_017
C_L_001	C_L_018
C_L_001	C_L_019
C_L_001	C_L_020
C_L_001	C_L_021
C_L_001	C_L_022
C_L_001	C_L_023
C_L_001	C_L_024
C_L_001	C_L_025
C_L_001	C_L_026
C_L_001	C_L_027
C_L_001	C_L_028
C_L_001	C_L_029
C_L_001	C_L_030
C_L_001	C_L_031
C_L_001	C_L_032
C_L_001	C_L_033
C_L_001	C_L_034
C_L_001	C_L_035
C_L_001	C_L_036
C_L_001	C_L_037
C_L_001	C_L_038
C_L_001	C_L_039
C_L_001	C_L_040
C_L_001	C_L_041
C_L_001	C_L_042
C_L_001	C_L_043
C_L_001	C_L_044
C_L_001	C_L_045
C_L_001	C_L_046
C_L_001	C_L_047
C_L_001	C_L_048
C_L_001	C_L_049
C_L_001	C_L_050
C_L_001	C_R_001
C_L_001	C_R_002
C_L_001	C_R_003
C_L_001	C_R_004
C_L_001	C_R_005
C_L_001	C_R_006
C_L_001	C_R_007
C_L_001	C_R_008
C_L_001	C_R_009
C_L_001	C_R_010
C_L_001	C_R_011
C_L_001	C_R_012
C_L_001	C_R_013
C_L_001	C_R_014
C_L_001	C_R_015
C_L_001	C_R_016
C_L_001	C_R_017
C_L_001	C_R_018
C_L_001	C_R_019
C_L_001	C_R_020
C_L_001	C_R_021
C_L_001	C_R_022
C_L_001	C_R_023
C_L_001	C_R_024
C_L_001	C_R_025
C_L_001	C_R_026
C_L_001	C_R_027
C_L_001	C_R_028
C_L_001	C_R_029
C_L_001	C_R_030
C_L_001	C_R_031
C_L_001	C_R_032
C_L_001	C_R_033
C_L_001	C_R_034
C_L_001	C_R_035
C_L_001	C_R_036
C_L_001	C_R_037
C_L_001	C_R_038
C_L_001	C_R_039
C_L_001	C_R_040
C_L_001	C_R_041
C_L_001	C_R_042
C_L_001	C_R_043
C_L_001	C_R_044
C_L_001	C_R_045
C_L_001	C_R_046
C_L_001	C_R_047
C_L_001	C_R_048
C_L_001	C_R_049
C_L_001	C_R_050
C_L_001	S_L_PutVA
C_L_001	S_L_PutDA
C_L_001	S_L_PutVP
C_L_001	S_L_PutDP
C_L_001	S_L_CauVA
C_L_001	S_L_CauDA
C_L_001	S_L_CauBody
C_L_001	S_L_CauTail
C_L_001	S_L_NAcShell
C_L_001	S_L_NAcCore
C_L_001	S_R_PutVA
C_L_001	S_R_PutDA
C_L_001	S_R_PutVP
C_L_001	S_R_PutDP
C_L_001	S_R_CauVA
C_L_001	S_R_CauDA
C_L_001	S_R_CauBody
C_L_001	S_R_CauTail
C_L_001	S_R_NAcShell
C_L_001	S_R_NAcCore
C_L_001	Th_L_VAip
C_L_001	Th_L_VAia
C_L_001	Th_L_VPm
C_L_001	Th_L_VPl
C_L_001	Th_L_VAs
C_L_001	Th_L_DAm
C_L_001	Th_L_DAl
C_L_001	Th_L_DP
C_L_001	A_L_Lat
C_L_001	A_L_Med
C_L_001	H_L_HeadM1
C_L_001	H_L_HeadM2
C_L_001	H_L_HeadL
C_L_001	H_L_Body
C_L_001	H_L_Tail
C_L_001	Th_R_VAip
C_L_001	Th_R_VAia
C_L_001	Th_R_VPm
C_L_001	Th_R_VPl
C_L_001	Th_R_VAs
C_L_001	Th_R_DAm
C_L_001	Th_R_DAl
C_L_001	Th_R_DP
C_L_001	A_R_Lat
C_L_001	A_R_Med
C_L_001	H_R_HeadM1
C_L_001	H_R_HeadM2
C_L_001	H_R_HeadL
C_L_001	H_R_Body
C_L_001	H_R_Tail
C_L_001	STN_L
C_L_001	STN_R
C_L_002	C_L_001
C_L_002	C_L_003
C_L_002	C_L_004
C_L_002	C_L_005
C_L_002	C_L_006
C_L_002	C_L_007
C_L_002	C_L_008
C_L_002	C_L_009
C_L_002	C_L_010
C_L_002	C_L_011
C_L_002	C_L_012
C_L_002	C_L_013
C_L_002	C_L_014
C_L_002	C_L_015
C_L_002	C_L_016
C_L_002	C_L_017
C_L_002	C_L_018
C_L_002	C_L_019
C_L_002	C_L_020
C_L_002	C_L_021
C_L_002	C_L_022
C_L_002	C_L_023
C_L_002	C_L_024
C_L_002	C_L_025
C_L_002	C_L_026
C_L_002	C_L_027
C_L_002	C_L_028
C_L_002	C_L_029
C_L_002	C_L_030
C_L_002	C_L_031
C_L_002	C_L_032
C_L_002	C_L_033
C_L_002	C_L_034
C_L_002	C_L_035
C_L_002	C_L_036
C_L_002	C_L_037
C_L_002	C_L_038
C_L_002	C_L_039
C_L_002	C_L_040
C_L_002	C_L_041
C_L_002	C_L_042
C_L_002	C_L_043
C_L_002	C_L_044
C_L_002	C_L_045
C_L_002	C_L_046
C_L_002	C_L_047
C_L_002	C_L_048
C_L_002	C_L_049
C_L_002	C_L_050
C_L_002	C_R_001
C_L_002	C_R_002
C_L_002	C_R_003
C_L_002	C_R_004
C_L_002	C_R_005
C_L_002	C_R_006
C_L_002	C_R_007
C_L_002	C_R_008
C_L_002	C_R_009
C_L_002	C_R_010
C_L_002	C_R_011
C_L_002	C_R_012
C_L_002	C_R_013
C_L_002	C_R_014
C_L_002	C_R_015
C_L_002	C_R_016
C_L_002	C_R_017
C_L_002	C_R_018
C_L_002	C_R_019
C_L_002	C_R_020
C_L_002	C_R_021
C_L_002	C_R_022
C_L_002	C_R_023
C_L_002	C_R_024
C_L_002	C_R_025
C_L_002	C_R_026
C_L_002	C_R_027
C_L_002	C_R_028
C_L_002	C_R_029
C_L_002	C_R_030
C_L_002	C_R_031
C_L_002	C_R_032
C_L_002	C_R_033
C_L_002	C_R_034
C_L_002	C_R_035
C_L_002	C_R_036
C_L_002	C_R_037
C_L_002	C_R_038
C_L_002	C_R_039
C_L_002	C_R_040
C_L_002	C_R_041
C_L_002	C_R_042
C_L_002	C_R_043
C_L_002	C_R_044
C_L_002	C_R_045
C_L_002	C_R_046
C_L_002	C_R_047
C_L_002	C_R_048
C_L_002	C_R_049
C_L_002	C_R_050
