label	roi_id	group	structure	hemisphere	source_atlas	source_label	role
1	C_L_001	C	cortex	L	Schaefer2018_100Parcels_7Networks	1	cortical
2	C_L_002	C	cortex	L	Schaefer2018_100Parcels_7Networks	2	cortical
3	C_L_003	C	cortex	L	Schaefer2018_100Parcels_7Networks	3	cortical
4	C_L_004	C	cortex	L	Schaefer2018_100Parcels_7Networks	4	cortical
5	C_L_005	C	cortex	L	Schaefer2018_100Parcels_7Networks	5	cortical
6	C_L_006	C	cortex	L	Schaefer2018_100Parcels_7Networks	6	cortical
7	C_L_007	C	cortex	L	Schaefer2018_100Parcels_7Networks	7	cortical
8	C_L_008	C	cortex	L	Schaefer2018_100Parcels_7Networks	8	cortical
9	C_L_009	C	cortex	L	Schaefer2018_100Parcels_7Networks	9	cortical
10	C_L_010	C	cortex	L	Schaefer2018_100Parcels_7Networks	10	cortical
11	C_L_011	C	cortex	L	Schaefer2018_100Parcels_7Networks	11	cortical
12	C_L_012	C	cortex	L	Schaefer2018_100Parcels_7Networks	12	cortical
13	C_L_013	C	cortex	L	Schaefer2018_100Parcels_7Networks	13	cortical
14	C_L_014	C	cortex	L	Schaefer2018_100Parcels_7Networks	14	cortical
15	C_L_015	C	cortex	L	Schaefer2018_100Parcels_7Networks	15	cortical
16	C_L_016	C	cortex	L	Schaefer2018_100Parcels_7Networks	16	cortical
17	C_L_017	C	cortex	L	Schaefer2018_100Parcels_7Networks	17	cortical
18	C_L_018	C	cortex	L	Schaefer2018_100Parcels_7Networks	18	cortical
19	C_L_019	C	cortex	L	Schaefer2018_100Parcels_7Networks	19	cortical
20	C_L_020	C	cortex	L	Schaefer2018_100Parcels_7Networks	20	cortical
21	C_L_021	C	cortex	L	Schaefer2018_100Parcels_7Networks	21	cortical
22	C_L_022	C	cortex	L	Schaefer2018_100Parcels_7Networks	22	cortical
23	C_L_023	C	cortex	L	Schaefer2018_100Parcels_7Networks	23	cortical
24	C_L_024	C	cortex	L	Schaefer2018_100Parcels_7Networks	24	cortical
25	C_L_025	C	cortex	L	Schaefer2018_100Parcels_7Networks	25	cortical
26	C_L_026	C	cortex	L	Schaefer2018_100Parcels_7Networks	26	cortical
27	C_L_027	C	cortex	L	Schaefer2018_100Parcels_7Networks	27	cortical
28	C_L_028	C	cortex	L	Schaefer2018_100Parcels_7Networks	28	cortical
29	C_L_029	C	cortex	L	Schaefer2018_100Parcels_7Networks	29	cortical
30	C_L_030	C	cortex	L	Schaefer2018_100Parcels_7Networks	30	cortical
31	C_L_031	C	cortex	L	Schaefer2018_100Parcels_7Networks	31	cortical
32	C_L_032	C	cortex	L	Schaefer2018_100Parcels_7Networks	32	cortical
33	C_L_033	C	cortex	L	Schaefer2018_100Parcels_7Networks	33	cortical
34	C_L_034	C	cortex	L	Schaefer2018_100Parcels_7Networks	34	cortical
35	C_L_035	C	cortex	L	Schaefer2018_100Parcels_7Networks	35	cortical
36	C_L_036	C	cortex	L	Schaefer2018_100Parcels_7Networks	36	cortical
37	C_L_037	C	cortex	L	Schaefer2018_100Parcels_7Networks	37	cortical
38	C_L_038	C	cortex	L	Schaefer2018_100Parcels_7Networks	38	cortical
39	C_L_039	C	cortex	L	Schaefer2018_100Parcels_7Networks	39	cortical
40	C_L_040	C	cortex	L	Schaefer2018_100Parcels_7Networks	40	cortical
41	C_L_041	C	cortex	L	Schaefer2018_100Parcels_7Networks	41	cortical
42	C_L_042	C	cortex	L	Schaefer2018_100Parcels_7Networks	42	cortical
43	C_L_043	C	cortex	L	Schaefer2018_100Parcels_7Networks	43	cortical
44	C_L_044	C	cortex	L	Schaefer2018_100Parcels_7Networks	44	cortical
45	C_L_045	C	cortex	L	Schaefer2018_100Parcels_7Networks	45	cortical
46	C_L_046	C	cortex	L	Schaefer2018_100Parcels_7Networks	46	cortical
47	C_L_047	C	cortex	L	Schaefer2018_100Parcels_7Networks	47	cortical
48	C_L_048	C	cortex	L	Schaefer2018_100Parcels_7Networks	48	cortical
49	C_L_049	C	cortex	L	Schaefer2018_100Parcels_7Networks	49	cortical
50	C_L_050	C	cortex	L	Schaefer2018_100Parcels_7Networks	50	cortical
51	C_R_001	C	cortex	R	Schaefer2018_100Parcels_7Networks	51	cortical
52	C_R_002	C	cortex	R	Schaefer2018_100Parcels_7Networks	52	cortical
53	C_R_003	C	cortex	R	Schaefer2018_100Parcels_7Networks	53	cortical
54	C_R_004	C	cortex	R	Schaefer2018_100Parcels_7Networks	54	cortical
55	C_R_005	C	cortex	R	Schaefer2018_100Parcels_7Networks	55	cortical
56	C_R_006	C	cortex	R	Schaefer2018_100Parcels_7Networks	56	cortical
57	C_R_007	C	cortex	R	Schaefer2018_100Parcels_7Networks	57	cortical
58	C_R_008	C	cortex	R	Schaefer2018_100Parcels_7Networks	58	cortical
59	C_R_009	C	cortex	R	Schaefer2018_100Parcels_7Networks	59	cortical
60	C_R_010	C	cortex	R	Schaefer2018_100Parcels_7Networks	60	cortical
61	C_R_011	C	cortex	R	Schaefer2018_100Parcels_7Networks	61	cortical
62	C_R_012	C	cortex	R	Schaefer2018_100Parcels_7Networks	62	cortical
63	C_R_013	C	cortex	R	Schaefer2018_100Parcels_7Networks	63	cortical
64	C_R_014	C	cortex	R	Schaefer2018_100Parcels_7Networks	64	cortical
65	C_R_015	C	cortex	R	Schaefer2018_100Parcels_7Networks	65	cortical
66	C_R_016	C	cortex	R	Schaefer2018_100Parcels_7Networks	66	cortical
67	C_R_017	C	cortex	R	Schaefer2018_100Parcels_7Networks	67	cortical
68	C_R_018	C	cortex	R	Schaefer2018_100Parcels_7Networks	68	cortical
69	C_R_019	C	cortex	R	Schaefer2018_100Parcels_7Networks	69	cortical
70	C_R_020	C	cortex	R	Schaefer2018_100Parcels_7Networks	70	cortical
71	C_R_021	C	cortex	R	Schaefer2018_100Parcels_7Networks	71	cortical
72	C_R_022	C	cortex	R	Schaefer2018_100Parcels_7Networks	72	cortical
73	C_R_023	C	cortex	R	Schaefer2018_100Parcels_7Networks	73	cortical
74	C_R_024	C	cortex	R	Schaefer2018_100Parcels_7Networks	74	cortical
75	C_R_025	C	cortex	R	Schaefer2018_100Parcels_7Networks	75	cortical
76	C_R_026	C	cortex	R	Schaefer2018_100Parcels_7Networks	76	cortical
77	C_R_027	C	cortex	R	Schaefer2018_100Parcels_7Networks	77	cortical
